Date,Close,Rate,,FV,PV,,,Date,Close,FV,PV,,,,,,,,
01-Jun-23,18487.75,-0.251694147,,1.241746562,-1,,,11-06-2013,5788.799805,1.272647224,-1,,,,,,,,
02-Jun-23,18534.1,0.250706549,,1.238641207,-1,,,12-06-2013,5760.200195,1.278965965,-1,,,,,,,,
05-Jun-23,18593.85,0.322378751,,1.234660923,-1,,,13-06-2013,5699.100098,1.292677769,-1,,,,,,,,
06-Jun-23,18599,0.02769733,,1.234319049,-1,,,14-06-2013,5808.399902,1.268352752,-1,,,,,,,,
07-Jun-23,18726.4,0.684983064,,1.225921693,-1,,,17-06-2013,5850.049805,1.259322612,-1,,,,,,,,
08-Jun-23,18634.55,-0.490484023,,1.231964281,-1,,,18-06-2013,5813.600098,1.267218226,-1,,,,,,,,
09-Jun-23,18563.4,-0.381817645,,1.236686167,-1,,,19-06-2013,5822.25,1.265335566,-1,,,,,,,,
12-Jun-23,18601.5,0.205242574,,1.23415316,-1,,,20-06-2013,5655.899902,1.302551341,-1,,,,,,,,
13-Jun-23,18716.15,0.616348144,,1.226593076,-1,,,21-06-2013,5667.649902,1.299850931,-1,,,,,,,,
14-Jun-23,18755.9,0.212383423,,1.223993517,-1,,,24-06-2013,5590.25,1.317848039,-1,,,,,,,,
15-Jun-23,18688.1,-0.361486252,,1.228434137,-1,,,25-06-2013,5609.100098,1.313419242,-1,,,,,,,,
16-Jun-23,18826,0.73790273,,1.219435887,-1,,,26-06-2013,5588.700195,1.318213492,-1,,,,,,,,
19-Jun-23,18755.45,-0.374747689,,1.224022884,-1,,,27-06-2013,5682.350098,1.296488226,-1,,,,,,,,
20-Jun-23,18816.7,0.326571743,,1.220038583,-1,,,28-06-2013,5842.200195,1.261014644,-1,,,,,,,,
21-Jun-23,18856.85,0.21337429,,1.217440877,-1,,,01-07-2013,5898.850098,1.248904427,-1,,,,,,,,
